DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
R011,ICD10,5648,Symptoms and signs involving the circulatory and respiratory systems
5693,ICD9,5640,Other diseases of intestines and peritoneum 
Z5189,ICD10,5639,Persons encountering health services for specific procedures and health care
R945,ICD10,5628,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
Z87442,ICD10,5609,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
V653,ICD9,5597,Factors influencing Health Status 
Z9989,ICD10,5573,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
F909,ICD10,5564,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
100002,OTHER,5559,
31401,ICD9,5548,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
Z331,ICD10,5540,Persons encountering health services in circumstances related to reproduction
E041,ICD10,5529,Disorders of thyroid gland
M7910,ICD10,5525,Other soft tissue disorders
78899,ICD9,5520,Symptoms 
50,OTHER,5485,
N951,ICD10,5480,Noninflammatory disorders of female genital tract
E1142,ICD10,5475,Diabetes mellitus
E781,ICD10,5474,Metabolic disorders
Z4802,ICD10,5470,Persons encountering health services for specific procedures and health care
R072,ICD10,5450,Symptoms and signs involving the circulatory and respiratory systems
V770,ICD9,5445,Factors influencing Health Status 
V5866,ICD9,5444,Factors influencing Health Status 
70219,ICD9,5433,Other diseases of the skin and subcutaneous tissue 
Z6852,ICD10,5433,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z3202,ICD10,5415,Persons encountering health services in circumstances related to reproduction
O80,ICD10,5401,Delivery
Z6837,ICD10,5398,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
4280,ICD9,5397,Other forms of heart disease 
7873,ICD9,5395,Symptoms 
L700,ICD10,5376,Disorders of skin appendages
6826,ICD9,5368,Infections of the skin and subcutaneous tissue 
M25531,ICD10,5365,Other joint disorders
Z309,ICD10,5364,Persons encountering health services in circumstances related to reproduction
Z021,ICD10,5363,Persons encountering health services for examination and investigation
99,OTHER,5340,
N912,ICD10,5337,Noninflammatory disorders of female genital tract
7919,ICD9,5328,Nonspecific abnormal findings 
Z6829,ICD10,5327,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
J9811,ICD10,5320,Other diseases of the respiratory system
160114,OTHER,5315,
72610,ICD9,5311,"Rheumatism, excluding the back "
J0140,ICD10,5309,Acute upper respiratory infections
53550,ICD9,5308,"Diseases of esophagus, stomach, and duodenum"
M79642,ICD10,5307,Other soft tissue disorders
R8290,ICD10,5304,"Abnormal findings on examination of urine, without diagnosis"
Z880,ICD10,5302,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
E038,ICD10,5295,Disorders of thyroid gland
4778,ICD9,5277,Other diseases of the upper respiratory tract 
463,ICD9,5275,Acute respiratory infections 
L570,ICD10,5274,Radiation-related disorders of the skin and subcutaneous tissue
Z3A39,ICD10,5259,Persons encountering health services in circumstances related to reproduction
4618,ICD9,5253,Acute respiratory infections 
7234,ICD9,5236,Dorsopathies 
120,ICD9,5220,Helminthiases 
8472,ICD9,5217,Sprains and strains of joints and adjacent muscles 
38101,ICD9,5216,Diseases of the ear and mastoid process 
L299,ICD10,5206,Dermatitis and eczema
I361,ICD10,5201,Other forms of heart disease
Z13820,ICD10,5200,Persons encountering health services for examination and investigation
E784,ICD10,5198,Metabolic disorders
X58XXXA,ICD10,5189,Accidental exposure to other and unspecified factors
V4981,ICD9,5184,Factors influencing Health Status 
Z8669,ICD10,5181,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R32,ICD10,5178,Symptoms and signs involving the urinary system
4720,ICD9,5176,Other diseases of the upper respiratory tract 
J181,ICD10,5174,Influenza and pneumonia
8830,ICD9,5145,Open wound of upper limb 
N946,ICD10,5143,Noninflammatory disorders of female genital tract
V5832,ICD9,5139,Factors influencing Health Status 
E1140,ICD10,5133,Diabetes mellitus
Z6838,ICD10,5133,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
5718,ICD9,5124,Other diseases of digestive system 
V054,ICD9,5121,Factors influencing Health Status 
D485,ICD10,5090,Neoplasms of uncertain behavior
V220,ICD9,5065,Factors influencing Health Status 
Z01411,ICD10,5053,Persons encountering health services for examination and investigation
Z0289,ICD10,5051,Persons encountering health services for examination and investigation
K589,ICD10,5047,Other diseases of intestines
L0390,ICD10,5046,Infections of the skin and subcutaneous tissue
160302,OTHER,5043,
7812,ICD9,5029,Symptoms 
35,OTHER,5010,
Z6839,ICD10,4992,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
R938,ICD10,4989,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
V283,ICD9,4987,Factors influencing Health Status 
Z0189,ICD10,4979,Persons encountering health services for examination and investigation
2090000004,OTHER,4978,
M25532,ICD10,4975,Other joint disorders
V259,ICD9,4974,Factors influencing Health Status 
K2950,ICD10,4973,"Diseases of esophagus, stomach, and duodenum"
R339,ICD10,4954,Symptoms and signs involving the urinary system
M5126,ICD10,4949,Other dorsopathies
Z6828,ICD10,4948,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
R740,ICD10,4944,"Abnormal findings on examination of blood, without diagnosis"
7020,ICD9,4938,Other diseases of the skin and subcutaneous tissue 
E8199,ICD9,4930,Supplementary Classification of External Causes of Injury and Poisoning
549,ICD9,4921,Appendicitis 
R3915,ICD10,4919,Symptoms and signs involving the urinary system
71942,ICD9,4899,Arthropathies and related disorders 
R4182,ICD10,4897,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
N63,ICD10,4893,Disorders Of Breast
60000,ICD9,4890,Diseases of male genital organs 
IMO0001,UNKNOWN,4885,
7852,ICD9,4884,Symptoms 
N921,ICD10,4881,Noninflammatory disorders of female genital tract
Z4889,ICD10,4854,Persons encountering health services for specific procedures and health care
F410,ICD10,4847,"Neurotic, stress-related and somatoform disorders"
57420,ICD9,4835,Other diseases of digestive system 
7822,ICD9,4834,Symptoms 
72210,ICD9,4830,Dorsopathies 
N281,ICD10,4828,Other disorders of kidney and ureter
Z3483,ICD10,4813,Persons encountering health services in circumstances related to reproduction
J441,ICD10,4811,Chronic lower respiratory diseases
T7840XA,ICD10,4804,Other and unspecified effects of external causes
R252,ICD10,4801,Symptoms and signs involving the nervous and musculoskeletal systems
650,ICD9,4800,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
K649,ICD10,4800,Other diseases of intestines
Z8709,ICD10,4799,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z8639,ICD10,4780,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
61171,ICD9,4773,Disorders Of Breast 
460,ICD9,4769,Acute respiratory infections 
A084,ICD10,4762,Intestinal infectious diseases
Z86718,ICD10,4752,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
5939,ICD9,4751,Other diseases of urinary system 
F5101,ICD10,4749,Behavioural syndromes associated with physiological disturbances and physical factors
L509,ICD10,4727,Urticaria and erythema
46,OTHER,4717,
4240,ICD9,4714,Other forms of heart disease 
7842,ICD9,4712,Symptoms 
4611,ICD9,4698,Acute respiratory infections 
V163,ICD9,4696,Factors influencing Health Status 
V1209,ICD9,4695,Factors influencing Health Status 
79902,ICD9,4693,Ill-defined and unknown causes of morbidity and mortality 
580,ICD9,4690,"Nephritis, nephrotic syndrome, and nephrosis "
E1169,ICD10,4690,Diabetes mellitus
9953,ICD9,4689,Other and unspecified effects of external causes 
Z3041,ICD10,4663,Persons encountering health services in circumstances related to reproduction
V1749,ICD9,4653,Factors influencing Health Status 
V180,ICD9,4650,Factors influencing Health Status 
H66001,ICD10,4641,Diseases of middle ear and mastoid
140012,OTHER,4640,
M47812,ICD10,4611,Spondylopathies
M48061,ICD10,4599,Spondylopathies
H6690,ICD10,4587,Diseases of middle ear and mastoid
R1012,ICD10,4585,Symptoms and signs involving the digestive system and abdomen
110021,OTHER,4578,
59972,ICD9,4577,Other diseases of urinary system 
V160,ICD9,4574,Factors influencing Health Status 
J4530,ICD10,4552,Chronic lower respiratory diseases
Z202,ICD10,4552,Persons with potential health hazards related to communicable diseases
29632,ICD9,4551,Psychosis 
53011,ICD9,4548,"Diseases of esophagus, stomach, and duodenum"
Z6827,ICD10,4535,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
73300,ICD9,4527,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
Z3482,ICD10,4519,Persons encountering health services in circumstances related to reproduction
M797,ICD10,4500,Other soft tissue disorders
E8342,ICD10,4496,Metabolic disorders
7810,ICD9,4487,Symptoms 
5533,ICD9,4480,Hernia of abdominal cavity 
5859,ICD9,4476,"Nephritis, nephrotic syndrome, and nephrosis "
78050,ICD9,4476,Symptoms 
R569,ICD10,4474,General symptoms and signs
79389,ICD9,4456,Nonspecific abnormal findings 
R809,ICD10,4454,"Abnormal findings on examination of urine, without diagnosis"
K5909,ICD10,4453,Other diseases of intestines
I639,ICD10,4451,Cerebrovascular diseases
H109,ICD10,4449,Disorders of conjunctiva
R413,ICD10,4444,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
I872,ICD10,4433,"Diseases of veins and lymphatics, and other diseases of circulatory system"
25060,ICD9,4431,Diseases of other endocrine glands 
Z6843,ICD10,4430,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
V679,ICD9,4429,Factors influencing Health Status 
79319,ICD9,4408,Nonspecific abnormal findings 
V1589,ICD9,4388,Factors influencing Health Status 
Z87440,ICD10,4382,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
V709,ICD9,4379,Factors influencing Health Status 
6238,ICD9,4373,Other disorders of female genital tract 
7089,ICD9,4372,Other diseases of the skin and subcutaneous tissue 
H66002,ICD10,4369,Diseases of middle ear and mastoid
D259,ICD10,4360,Benign neoplasms
V7381,ICD9,4358,Factors influencing Health Status 
L709,ICD10,4351,Disorders of skin appendages
Z9181,ICD10,4351,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
M533,ICD10,4350,Other dorsopathies
78651,ICD9,4348,Symptoms 
7847,ICD9,4337,Symptoms 
J988,ICD10,4333,Other diseases of the respiratory system
M25519,ICD10,4332,Other joint disorders
37200,ICD9,4325,Disorders of the eye and adnexa 
J4540,ICD10,4314,Chronic lower respiratory diseases
O9989,ICD10,4311,"Other obstetric conditions, not elsewhere classified"
2721,ICD9,4310,Other metabolic and immunity disorders 
G2581,ICD10,4308,Extrapyramidal and movement disorders
R2689,ICD10,4299,Symptoms and signs involving the nervous and musculoskeletal systems
H5213,ICD10,4296,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
78863,ICD9,4284,Symptoms 
V7263,ICD9,4284,Factors influencing Health Status 
J310,ICD10,4281,Other diseases of the upper respiratory tract
7910,ICD9,4274,Nonspecific abnormal findings 
K644,ICD10,4274,Other diseases of intestines
L659,ICD10,4274,Disorders of skin appendages
B029,ICD10,4273,Viral infections characterized by skin and mucous membrane lesions
70,OTHER,4270,
72887,ICD9,4269,"Rheumatism, excluding the back "
V7241,ICD9,4268,Factors influencing Health Status 
Z3A38,ICD10,4253,Persons encountering health services in circumstances related to reproduction
Z7951,ICD10,4251,Persons encountering health services in other circumstances
V703,ICD9,4245,Factors influencing Health Status 
H524,ICD10,4240,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
R195,ICD10,4240,Symptoms and signs involving the digestive system and abdomen
5368,ICD9,4238,"Diseases of esophagus, stomach, and duodenum"
